singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
RTlD96lwZy,0.0,48.0,0.0,0.0,0.0,1,tHWjzYM5vg,Crunches,jPR3DDdS3k,2019-08-07,fake_id_419
IPJkHBBgob,170.0,28.0,,,,1,DqAMQnriCc,Crunches,J7P3BzpwKh,2016-12-09,fake_id_410
WCR2bEqz14,30.0,6.0,,,,5,NuhfREbHeh,Back Squat,AEfeTTzUtW,2017-04-10,fake_id_411
5MDPZ9if20,135.0,8.0,0.0,0.0,0.0,9,a3Cn9gbIqI,Back Squat,c4azqxsc69,2018-06-18,fake_id_412
iEPHvqvWde,88.45061733994974,5.0,0.0,0.0,0.0,3,r9x3xEJ04r,Back Squat,5dpRYOFMQ1,2019-06-28,fake_id_419
jt9DJpJneC,135.0,6.0,0.0,0.0,0.0,5,h9HtDQie2A,Back Squat,ZLJpt9u8he,2018-06-05,fake_id_412
OXzjYHyf76,136.07787283069192,3.0,0.0,0.0,0.0,8,jX21AAsMDV,Back Squat,RUsDJ240lZ,2018-09-08,fake_id_422
IbHIcWztMx,20.41168092460379,8.0,0.0,0.0,0.0,1,DbIOhtNN1I,Back Squat,GpPA11Hilm,2019-06-20,fake_id_419
3MOuMPtTrw,0.0,12.0,0.0,0.0,0.0,2,kq6rOLicEb,Leg Raise,Bp2XgEQNiZ,2018-12-07,fake_id_425
16ij5EitK9,0.0,10.0,0.0,0.0,0.0,5,tbM0kEuHh0,Leg Raise,LE3DGRfr9z,2019-05-20,fake_id_419
Y2aPLxNGJD,76.20360878518747,12.0,0.0,0.0,0.0,4,lNXWELcFkY,Leg Press,BEnSFGWzK5,2018-06-26,fake_id_409
1VA1LDGaZ0,40.82336184920758,6.0,0.0,0.0,0.0,1,TL5PGNKIBi,Leg Press,QPuS7Dpbwn,2018-11-13,fake_id_425
3w4uB5uLEe,29.483539113316585,8.0,0.0,0.0,0.0,6,i3YEOBzWls,Cable Row,NThIEjqE2X,2018-07-12,fake_id_418
7AFDqyGGta,20.0,8.0,,,,4,UIUtUfU7lF,Dumbbell Lunge,tZUAzoQ5uI,2016-12-11,fake_id_409
WwEaL7nncK,7.0,7.0,0.0,0.0,0.0,3,EcWvjM0D2B,Dumbbell Lunge,IIyNvxswAb,2018-03-21,fake_id_415
UGSfkloSKV,111.13026281173174,3.0,0.0,0.0,0.0,7,gtUmv4z3ys,Deadlift,A7QvLmI5KT,2019-06-16,fake_id_419
TdQqlgEn91,156.4895537552957,3.0,0.0,0.0,0.0,7,LRnhtYJMVp,Deadlift,dBUws6n43n,2018-09-12,fake_id_422
9Ehv4Q0Mj7,65.77097186816775,6.0,0.0,0.0,0.0,6,eE0bD8szbS,Deadlift,t4MUpPdi8M,2018-07-01,fake_id_423
boFZWFhsnb,60.0,10.0,0.0,0.0,0.0,2,nzjPyNs1yL,Deadlift,KJJPigQtzE,2018-03-19,fake_id_412
gXGPv5WV9T,6.0,12.0,0.0,0.0,0.0,2,dchFKoDiK0,Dumbbell Rear Delt Raise,mPitxPtXtH,2018-04-04,fake_id_415
XF4AaqSQu2,2.2679645471781993,15.0,0.0,0.0,0.0,3,7quz10MgE7,Dumbbell Rear Delt Raise,2BmkzotvGw,2019-09-08,fake_id_409
E26HIqq3og,2.2679645471781993,12.0,0.0,0.0,0.0,2,I2n3MRmyOM,Dumbbell Fly,SDR8E7Zd3m,2019-02-03,fake_id_416
nqZ4Qyf4US,9.071858188712797,10.0,0.0,0.0,0.0,1,fte3e77Pem,Dumbbell Fly,AadYDCSq2C,2018-06-12,fake_id_423
OjtSntSJ34,15.87575183024739,4.0,0.0,0.0,0.0,5,0fRL2DHviv,Dumbbell Bench Press,hqZnDUgOsX,2019-01-10,fake_id_425
DMuv1UvrUK,5.669911367945497,10.0,0.0,0.0,0.0,3,BPPq6qLpP9,Dumbbell Bench Press,L4TfhCjSwU,2019-06-04,fake_id_416
Ra2kWjuN9s,30.0,6.0,0.0,0.0,0.0,4,KQUAMcJQjj,Dumbbell Bench Press,w9YHTI7vyj,2018-11-01,fake_id_412
f7HZyK2yfN,4.535929094356399,15.0,0.0,0.0,0.0,2,WT5Cs8HHbQ,Dumbbell Bench Press,bcKQ8di9Z1,2018-05-08,fake_id_409
5HAIE7EdaR,0.0,10.0,0.0,0.0,0.0,3,Zcq0QXZjmE,Superman,9WZD5OkaGH,2018-07-06,fake_id_424
q2cEXGPcx6,0.0,17.0,0.0,0.0,0.0,1,HFCjJReyn6,Superman,nijnx7a90v,2018-03-22,fake_id_415
KGILcSKTeN,58.96707822663317,12.0,0.0,0.0,0.0,2,64YdKqO25u,Leg Extension,7hLfRfDquL,2018-05-15,fake_id_424
VWUVFJc06n,45.0,8.0,0.0,0.0,0.0,1,14k0C4WVyU,Leg Extension,qAyFI36daA,2018-05-10,fake_id_412
UN2MBZ6qzy,74.84283005688056,12.0,0.0,0.0,0.0,1,hmEVoqRpXT,Leg Extension,iBUB44FtlG,2019-06-19,fake_id_414
0n5ihdM7Bb,27.215574566138386,10.0,0.0,0.0,0.0,2,D1TJ2VYAvf,Leg Extension,aTsGpAxG36,2018-12-27,fake_id_416
QafaZxwRvj,43.091326396385774,8.0,0.0,0.0,0.0,5,vbVOTsmKoB,Front Squat,fL6SAJiFcW,2018-07-06,fake_id_409
TDWxYCHpFu,90.0,5.0,0.0,0.0,0.0,9,aqmBUJ2eGv,Front Squat,NQIhHGbisT,2018-01-19,fake_id_412
NeSyVFCEQg,125.0,4.0,0.0,0.0,0.0,6,HANLHeNBuP,Front Squat,z9KVdY5aF1,2018-07-12,fake_id_412
TLcWnLOHJB,45.0,8.0,0.0,0.0,0.0,2,FPiXT8ONpH,Front Squat,3HXoeHjFEe,2018-09-06,fake_id_412
gr0beyE9L5,20.41168092460379,4.0,0.0,0.0,0.0,2,DC9DYvH4Li,Front Squat,0B88ixbmel,2019-05-14,fake_id_426
f8k8PeGhdf,0.0,10.0,0.0,0.0,0.0,2,0eFeN2oi7L,Push Up,5Beetiww1U,2018-01-25,fake_id_415
i84oOClDKG,165.0,9.0,,,,3,tCcWlGqnYG,Push Up,f2ENGz61Ly,2017-01-11,fake_id_410
mpD5CzMhsd,97.52247552866255,5.0,0.0,0.0,0.0,6,joJPHvAX4l,Barbell Bench Press,BZULGBm7kk,2018-08-28,fake_id_422
OJR0bCeqRP,34.01946820767298,8.0,0.0,0.0,0.0,2,JWLUar8MzU,Barbell Bench Press,w3HcJUz4F0,2018-11-26,fake_id_425
KHok6qVH0B,80.0,5.0,0.0,0.0,0.0,5,bXsw0FUaWD,Barbell Bench Press,Ly5Rv9rD1y,2018-03-13,fake_id_412
BNbHqmxlaQ,85.0,5.0,0.0,0.0,0.0,6,b2nnKJRIU2,Barbell Bench Press,PL4I3gfL4w,2018-05-27,fake_id_412
XdowY4fZIx,75.0,6.0,0.0,0.0,0.0,7,TCUj44RBPI,Barbell Bench Press,XddAx48Z4H,2018-02-06,fake_id_412
z06K2kyxtA,65.77097186816775,4.0,0.0,0.0,0.0,5,7HTp7cF8EV,Barbell Bench Press,4GXWMj4jk2,2018-07-06,fake_id_417
Gum9yuN42y,52.16318458509857,8.0,0.0,0.0,0.0,2,tmrCPXXWDt,Barbell Bench Press,XoB8oYW1SX,2019-08-26,fake_id_419
GNCBOWzCXo,102.05840462301893,5.0,0.0,0.0,0.0,8,aKvDEhKEfS,Barbell Bench Press,GSbk43k1DF,2018-07-10,fake_id_424
giw1R1vAPk,38.555397302029384,4.0,0.0,0.0,0.0,3,4xoxjbiTX7,Barbell Bench Press,NVGEaoqKhI,2019-05-01,fake_id_426
nkoCQpcYPH,13.607787283069193,10.0,0.0,0.0,0.0,3,xpkPpctiZN,Dumbbell Shoulder Press,SUCeaOpkKK,2019-06-07,fake_id_426
CqkTaEJ16E,0.0,10.0,,,,1,PhoXgaiVRS,Bicycle Crunch,I0eDfuuln9,2017-05-13,fake_id_409
wMCSBYiVlL,0.0,15.0,,,,2,Mw8qp3Xubi,Bicycle Crunch,AEfeTTzUtW,2017-04-10,fake_id_411
hgIkfor4aQ,61.23504277381137,3.0,0.0,0.0,0.0,3,xkXuW20bd5,Barbell Shoulder Press,Up55E2MduW,2019-07-31,fake_id_419
MAcheE9Hnx,63.50300732098956,3.0,0.0,0.0,0.0,7,QCOBACHhRw,Barbell Shoulder Press,G7iclffa1I,2019-06-21,fake_id_419
OLcgApejkf,20.41168092460379,8.0,0.0,0.0,0.0,3,YA2iJHYQDV,Barbell Shoulder Press,PRRMvSqTG0,2019-01-03,fake_id_409
SDArxJcoU4,43.091326396385774,3.0,0.0,0.0,0.0,5,rOBGiqdINF,Barbell Shoulder Press,W3t54U4BcV,2018-03-13,fake_id_417
USoO8ULccJ,45.35929094356398,3.0,0.0,0.0,0.0,4,EBHvHtkq6k,Barbell Shoulder Press,f6AxRX4Y7Y,2018-02-05,fake_id_417
K65CNFQLwb,45.0,8.0,,,,2,WMCdxD8qUk,Barbell Shoulder Press,MeU64jUs5D,2016-12-13,fake_id_409
